,pk_business_customer_id,entity_id,customer_segment_id,company_name,company_address_street_name,company_address_street_number,company_address_apartment_number,company_address_city,company_address_postal_code,company_address_country_id,company_registered_number,company_vat_number,company_legal_form,company_start_date,company_status_id,company_nace_basic_id,auxiliary_nace_segments,us_person,is_fatca_reportable,fatca_status_id,kyc_risk_level_id,number_of_multisignature_users,multisignature_limit,is_migrated,customer_status_id,mpts_identification_data,legal_language_id,registration_date,pk_snapshot_date,record_creation_date,insert_job_id,cashdirector_transaction_history_sent,reconciliation_hash
0,16578,37b0fce9-db06-402a-b963-6fe5bc5fa088,2,MqHG66AEK/KxaQb1A2qb3SgGdsfDNyZkRfeRWdmEICaYgalI9w8pyptBC4Ceyc8m,15NlnLG8XDJjiAuQmuPjuCt/PJlfxIZSMUdaCE1ueFY=,pP72qxUjb1nSv87GGmRcdDCvF5uzLSlZtjSGpzuwTnE=,MUUqZ1ID2Rru/gCTj8WzGqbBRoKwnmBGfWGyYtmP6Ow=,ROSIERES,1331,1,MIGRATION,MIGRATION,017,1989-06-01,000,9810,"[9810, 9810]",False,,,2,,,False,1,,3,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
1,16586,85140ad8-45b2-4008-a681-054ca3fb85d7,2,6W9M2BIn6trfX+1aD1RhIGX1wIFmZ7CkPLNw5WR76PYPhlNuDsS8GrsUfN3apJvEj6IoPjPwr1V4CQrTVr+jxA==,wgnVUtx9taEytqID4pL9nLr1cEbqPoA6KHflVOmrWA8=,bHr6pah2T6RY1OEB+i4Kb7Mq/xhznuWmVyDkj9/+zP0=,NtxspHpWjuRUjjUqobPtIdXcJfxW7/RxjhYvDOXTwFc=,EDEGEM,2650,1,MIGRATION,MIGRATION,017,1999-11-10,000,9810,"[9810, 9810]",False,,,2,,,False,1,,2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
2,16587,8af7a28e-9efd-4f1f-99ba-b02a334bbdd1,2,WOS3aqdAcgT6atba91nM4KpEFlhsXQlR1hbjNblbDdir/eKcy/9IsEIPckbIkK0gb+RkoxAq5v8SdqOMzDPgfA==,9+BgHrbvjc/eKnoXkG0l/tWQ4/o2gY5Qb9ijoBGpLP2v19ode592A9T7t6mx1OBO,qZKVR6ytD2KaBj0NGuPij2Szc/asxBX7+JpgUoe7JmY=,f16a33McKMUokJTSaveIWB2V5nn9nMujdf8cdWgW6D8=,Auderghem,1160,1,0451888158,0451888158,117,1994-01-13,000,94110,"[94110, 94110, 94110, 82190]",False,,,2,,,False,1,"{""mpts_account_external_id"":"""",""mpts_account_internal_id"":"""",""mpts_client_external_id"":""131495540"",""mpts_client_internal_id"":""""}",2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
3,16595,d90fb501-843c-4d40-b23b-726c65540ebc,2,2fZpNZyiRp9Lz8e8Qyt2o5OcwFLkx3NFzysDb6UqQfII/qiwdC7o8HUOGTKylWTG,ZQv/gR1m3Kn5GLMHTZbspBjQ+cs2xgsj23MWaDncW/U=,QXCHodkW4o/JwxT4Y4FpJR8o7GCO34j9Op7/GR7ZjfQ=,HSWb5EQIVd/7NcMR3Ufq4yYftZhGWW0SYkD2jctpd20=,BRUXELLES C.E.E COMMISSION,1049,1,MIGRATION,MIGRATION,017,2005-06-30,000,9810,"[9810, 9810]",False,,,2,,,False,1,,2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
4,16603,65635bba-7e8b-45eb-8231-d1151ab7d639,2,5IWD0PFzQxMmtXNKQPowi7VN/3v2w2djOB4cU8nsmNQmBKQuBw1dAsilm4nm3kn/,s77zO4d/DeqGN8Xqe2FbhaRhk3USnGQ53lQPP1PCSpY=,96ClwRdueSlVb95wk0V61KH0UdIEGYwbv6iJcZhGGfw=,N3w+UIO0T3OHEEW4RoM1PcoiQS8iwLIhMyn43t3QdC4=,CASTEAU,7061,1,MIGRATION,MIGRATION,017,2009-10-12,000,9810,"[9810, 9810]",False,,,2,,,False,1,"{""mpts_account_external_id"":"""",""mpts_account_internal_id"":"""",""mpts_client_external_id"":""130307210"",""mpts_client_internal_id"":""""}",2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
5,16604,852ef5a9-47e9-4972-bfb8-293304026cb0,2,K/xGohzRWloi9AhJy5odGHY5CsyZpRnZjtp2u/oFbXeOoeolvmVtnnPr1Cwydj9F3zZiKZMOFttMwrXBO+n7aQ==,tgb/p4ON3bj5rJtz1TsoBhijbr/VL37qzKKzsXRxetEdeG0xB5S4yXkNSqKQvCIX,3IRvwiYdEwI971x+mBZBrNjYAubcduup3NUteX8GE0I=,uMPZVITuqodOppSeq8xrUfCee51s8jNDsFpp/L3+7L0=,CHARLEROI,6000,1,MIGRATION,MIGRATION,017,0001-01-01,000,9810,"[9810, 9810]",False,,,2,,,False,1,,2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
6,16605,026c51bc-d1fb-488c-9569-899964d23a2d,2,oGn8OeIhyMbxGseHnPX5XID2ye+rhvepEh9vDk4mR6w=,aAo218Bd3M9DvvetzL0PCPUIByV9AJEZ4d9Otm5bw3uVs6+8RG1e8sTnjQF/045a,SEhR13lIVVlRIeQDbrXXGOtKpLEj/NCzzWSRGWZAOoY=,egEmJMic8xKJ6ZiaGhzzQzmz1gOmgLBGg0ht5I/rzj8=,BRUXELLES C.E.E COMMISSION,1049,1,MIGRATION,MIGRATION,777,2006-02-25,000,9810,"[9810, 9810]",False,,,2,,,False,1,,2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
7,16620,7de330d2-aa70-4ee1-b629-c5dcbe3d5828,2,5Spn9/nI2O98dfAkCVBk0dQwY55i0iII3Gja0IsEcYdWAMdoix632MIS7U3aXfGn,oP67HTBA3+YKgiWpCtDWHOOSMuHFP3skUjS4uedH2m8=,GMgxAPBtdvQoerBr7BPY4uXrneJWyJFe0EAkbOpVkCU=,eXvdKaMbY+EeY3JNzObD+IB5LbbgJ0BTc350CTf8oks=,JURBISE,7050,1,MIGRATION,MIGRATION,017,2011-09-01,000,9810,"[9810, 9810]",False,,,2,,,False,1,,3,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
8,16624,95535b6a-cd2e-4e2a-81e7-1e14e1bc9002,2,N56Df6z2CyGoIkGn13kOFhsAR7dKuuY+dOpes1uNJA2rvxhtnuqzOyvr4O2358Ir,U7R3vpOE6qTNsx0z0ahpSReCk9RkCr60AmteNSDR1cVXFj3A/PdsvshR4pXVRda1,HyMShfhB2fxSTg4JQvpUoyw9uguQj6Vp2fgXGycmsOk=,YlR7WbWdvsItf/UkZm7GzosOtvF0cxB4i9R2F9mvfoY=,STREPY-BRACQUEGNIES,7110,1,MIGRATION,MIGRATION,016,2012-03-08,000,9810,"[9810, 9810]",False,,,2,,,False,1,,1,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
9,16625,1084845d-49a2-4081-a6b8-3c0fbee7eab5,2,bErNKW0iDioG04jAemgGoK4u8DIAm2U0KOnVlocPuqUY0+oX3bvSsQGpaU5/X8uW6DESeX0N7TPjllw9XcGp1XhA4hDUPFIykWYT82HvrHg=,MiJppKILjCSsqMobjSuRVOBBb4ltY270WU8BSAQykEM=,ZIatADDnxPoubSdMAOfQ78gxGse8d93qFYRDV2LT4bc=,Ww5rE+Z+GQ3hHzXkNorHrIL2miGRB1WaK6sWdpdU73U=,ROME,00186,1,0823608390,0823608390,017,2010-03-03,000,9810,"[9810, 9810]",False,,,2,,,False,1,"{""mpts_account_external_id"":"""",""mpts_account_internal_id"":"""",""mpts_client_external_id"":""119410390"",""mpts_client_internal_id"":""""}",2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
10,16634,beac5987-7294-4887-b3d8-438774d8278b,2,/z8twdSlINqhe5yrB/Yb3lW+vpyNuw1iSaAdKP86p2cKrkoCL/WXs1Mx/ZX8F+xn,sXVzoInD6mLBAz7KarJEUnoD/UmOa18q6gFSIdZ1jzA=,ZzWIOykW4gKv/jTGVkzywm7aj23RdVRCA/hC1gay3rw=,x6inh1iL4MB1+WJXgvpej54Yv7PpHqOS32FjAD5qpx8=,HAMME,9220,1,MIGRATION,MIGRATION,790,2011-04-08,000,9810,"[9810, 9810]",False,,,2,,,False,1,,1,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
11,16639,2ea7de08-ab62-440e-b947-81d2ce21f756,2,hMGGAJVKVy4pL6TGDFZBNVhwu+7vTIQx/1aD0jOWNBuVakOfuozQm8r+J8gFfQBFN/OY3RQKm94CFvcrkJ6TDw==,EgRT033BviCLn2VY6VhZjorHdIMJ4bMbfKFxKRx+UMHsq/ULWG/xaBDll4t0bfv+,n+cnDKAfqHSoVY8YQSU7hfn/eBq7g9Prnv0kXdHduvk=,EOEU+/yU1cu195qA2aTq6Yre2DCEqvE3yMEVjK6QgF0=,TORHOUT,8820,1,MIGRATION,MIGRATION,721,2014-06-21,000,9810,"[9810, 9810]",False,,,2,,,False,1,,1,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
12,16640,cfafa37f-6e4a-4978-910b-ce494a91f05c,2,ON3yfnBXMsXusQ5wD1ONcsT4q2mEk68HJ25UTHvKHuICMmxPlHsZUbXyZgw5xSx2,RPaudl+rdHwEbw2d8WdFPJIbD1eUtDZjdIKD0cwGTTQ=,bF/J4ebEdBM8G9YfqISAuNWiX/P+KPqNPSyRPRwVPho=,XA5v5vCNeoJKD94Ls9Xe9mO7X7rk2ecwEvacSdY7niE=,LE ROEULX,7070,1,MIGRATION,MIGRATION,017,2012-01-10,000,9810,"[9810, 9810]",False,,,2,,,False,1,,3,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
13,16643,8d3b411a-1082-45c3-bc41-52f9d858d11b,2,x0tW8Z897/kfMOIuri16FOJPpvr5YNq/qgm8rPUZO6vEBtnYKVdZ4/BZwV7CbCQTPmHfU7mnqn4t5/5bK1v1hA==,711ahmDStLKS3b8+2I5hNqWLqzEFwXK9TzQpp9yxr+gqsW5uUIRCmcUpOCcAnxtf,w2RjUK6Gn995np2Ai9EOigUHsUsvWpqVXjGIZYupXpI=,2a0nlUrt8i2slTzO7yo2PEJWoGQTZ+dXIevHqDhoO3Q=,BRUXELLES C.E.E COMMISSION,1049,1,MIGRATION,MIGRATION,017,2014-08-28,000,9810,"[9810, 9810]",False,,,2,,,False,1,,2,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
14,16645,07a95d5e-4e2e-4084-9d5a-935f07007b13,2,3YvHDsFJwMmpb5Sk4U+9mBZcFaQDwAUOpwKXHaKaGGgDHC72SjmskW+Lwqkx+SJWmkjPyZRO7vLUQx0z5S7MhQ==,a20nCnE7EowwGWqX1y+R0hcDa1TgAHkApQhdgtnGu9PCfJNeRP/BDAMso0EBhFvF,CCyHyuz7DTxTiyMFAiAThTSm8htzY00eHpb36Z0/eGg=,BYOw5b/aqWZQ5D94xyBPErSzMHRIt0Nh6lGmvbi1zuw=,TORHOUT,8820,1,MIGRATION,MIGRATION,721,0001-01-01,000,9810,"[9810, 9810]",False,,,2,,,False,1,,1,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
15,16647,32c49b28-5fa6-4f29-9124-afa39db93950,2,5AvDVPzF+KY56OuQt4KZTXe75pehR3eNADrhaaPS6wl0p+w3Bw4EoLxzWr4yZ6RAjfqziBU8JlDUUo4o1dilVw==,i9ToTP500xa3v183rGCGxhp2EpvMhSOIzqXdUV0EcSX6RTxVXtJTDE/P/KqsGSZs,3WuBnns/cxmBQWAkTVW10cnRfIx9awnPL6uZrhW89dg=,LDVyWNwIGi/EwOydj2zUljtoxL2FeLypjAugoz2jPQc=,05,APO AE 097,1,MIGRATION,MIGRATION,017,2012-10-16,000,9810,"[9810, 9810]",False,,,2,,,False,1,,3,,2019-12-31,2020-01-01 01:12:44.215776+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,False,
