,pk_credit_account_id,previous_credit_account_id,first_credit_account_id,obligor_id,credit_agreement_number,previous_credit_agreement_number,product_id,related_entity_group_id,origin_country_id,origin_branch_id,currency_id,obligor_segment,opening_date,closing_date,interest_rate,interest_type,interest_base,interest_convention,margin,dof_dpd,dof_dpd_above_threshold,dpd,dpd_above_threshold,credit_score_on_granting_date,credit_rating_on_granting_date,credit_score,credit_rating,obligor_rating,accountancy_type,ltv,ltv_bucket,pd_on_granting_date,pd,scoring_model_version,actual_debt,gbv,principal_due,principal_undue,interest_accrued_due,interest_accrued_undue,restricted_interest,eir,eir_adjustment,income_cost_in_time,obv_conditional,obv_unconditional,monthly_repayment_of_principal,monthly_withdrawal_of_principal,monthly_repayment_of_interest,monthly_writeoffs,is_agreement_terminated,npv_original,npv_actual,forbearance_flag,npl_flag,default_flag,asset_type,ppa,original_loan_amount,ifrs9_stage,credit_repayment_schedule_id,sales,is_ind_significant,pk_snapshot_date,record_creation_date,insert_job_id,fair_value,ifrs9_maturity,ifrs9_stage_final,gbv_eur,obv_conditional_eur,obv_unconditional_eur,begaap_classification
0,AA193193CX7D,,0,4051,AA193193CX7D,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-17,,15,,,,0,,0,,0,0,,0,,67,67,67,0,0,0,0,0,0,0.0,,,0,0,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
1,AA193196QJBZ,,0,14470,AA193196QJBZ,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-19,2019-12-19,13,13.0,,,190,10C,0,,0,0,,0,4.3,1000,1000,1000,0,0,0,0,0,0,0.0,,,0,0,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2,AA19319D5277,,0,11180,AA19319D5277,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-20,,12,,,,190,10C,0,,0,0,,0,4.3,150,150,150,0,0,0,0,0,0,0.0,,,0,66,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
3,AA19319SJVQ4,,0,9084,AA19319SJVQ4,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-18,,14,,,,205,10C,0,,0,0,,0,4.3,213.65,213.65,213.65,0,0,0,0,0,0,0.0,,,0,190.82,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
4,AA193191BW1H,,0,3012,AA193191BW1H,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-16,2019-12-30,16,2.0,,,205,10C,0,,0,0,,0,4.3,1186.16,1186.16,1186.16,0,0,0,0,0,0,0.0,,,0,1076.22,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
5,AA193194VZR1,,0,5604,AA193194VZR1,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-25,,7,,,,190,10C,0,,0,0,,0,4.3,300,300,300,0,0,0,0,0,0,0.0,,,0,0,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
6,AA19319XSM4Q,,0,2173,AA19319XSM4Q,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-25,,7,,,,205,10C,0,,0,0,,0,4.3,479.61,479.61,479.61,0,0,0,0,0,0,0.0,,,521.97,782.28,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
7,AA19319VXNP6,,0,11220,AA19319VXNP6,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-20,,12,,,,0,,0,,0,0,,0,,254.38,254.38,254.38,0,0,0,0,0,0,0.0,,,0,108.38,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
8,AA193192DD2K,,0,9316,AA193192DD2K,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-20,,12,,,,0,,0,,0,0,,0,,453.73,453.73,453.73,0,0,0,0,0,0,0.0,,,0,450,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
9,AA19319TTF72,,0,15229,AA19319TTF72,,2,,1,1,44,1,2019-11-15 00:00:00+00:00,,0,FIXED,C,1,0,2019-12-17,2019-12-27,15,5.0,,,190,10C,0,,0,0,,0,4.3,5015.47,5015.47,5015.47,0,0,0,0,0,0,0.0,,,0,5001.03,0,,False,0,0,N,N,N,credit,,0,1,,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
