,pk_credit_account_id,ifrs9_stage_on_granting_date_final,ifrs9_stage_final,ifrs9_assessment_type,credit_account_costs,credit_account_income,ifrs9_portfolio,poci_flag,expected_cashflow,ifrs9_bucket,pd_value,lgd_value,ccf_value,ead_value,pd_bucket,lgd_bucket,ccf_bucket,pd_vector_entry_id,prepayments_vector_entry_id,lgd_vector_entry_id,ccf_vector_entry_id,collateral_allocated,ecl_balance,ecl_offbalance,begaap_classification,begaap_provision_balance,begaap_provision_offbalance,asset_type,ppa,original_loan_amount,pk_snapshot_date,record_creation_date,insert_job_id,write_off_sum,ecl_balance_eur,ecl_offbalance_eur,begaap_provision_balance_eur,begaap_provision_offbalance_eur,begapp_assessment_type,ead_value_eur
0,AA19319573Z3,1,2,Collective,0,0,7,N,,7,,,,,7#1#DPD31_60,7#1#DPD31_60,7,,NA,,772,0,,,P_PAST_DUE,0,0,credit,,0,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
1,AA19319PM3B2,1,1,Collective,0,0,7,N,,7,,,,,7#1#DPD31_60,7#1#DPD31_60,7,,NA,,772,0,,,P_PAST_DUE,0,0,credit,,0,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
2,AA1929449VDD,1,1,Collective,0,0,19,N,2635.78,19,0.0181,0.3197,0.5,-0.06,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,-0.000347194,0,P_PAST_DUE,0,0,credit,,510,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
3,AA19335M83JZ,1,1,Collective,0,0,19,N,10465.29,19,0.0181,0.3197,0.5,5143.34,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,29.762296944,0,P_PAST_DUE,0,0,credit,,7000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
4,AA19335X881D,1,1,Collective,0,0,19,N,8889.43,19,0.0181,0.3197,0.5,1713.02,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,9.912510141,0,P_PAST_DUE,0,0,credit,,10500,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
5,AA19335GDW8K,1,2,Collective,0,0,19,N,3923.4,19,0.0181,0.3197,0.5,921.99,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,5.335159674,0,P_PAST_DUE,0,0,credit,,20000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
6,AA19335V3D87,1,1,Collective,0,0,19,N,20142.02,19,0.0181,0.3197,0.5,16265.85,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,94.123479635,0,P_PAST_DUE,0,0,credit,,25700,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
7,AA19335XPZTV,1,2,Collective,0,0,19,N,15606.57,19,0.0181,0.3197,0.5,5325.17,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,30.814468967,0,P_PAST_DUE,0,0,credit,,11000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
8,AA19335P212Y,1,1,Collective,0,0,19,N,19600.97,19,0.0181,0.3197,0.5,2844.07,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,16.45741014,0,P_PAST_DUE,0,0,credit,,12225,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
9,AA19335SFQLZ,1,1,Collective,0,0,19,N,13988.71,19,0.0181,0.3197,0.5,2493.17,19#1#DPD0,19#1#DPD0,19,59,NA,99,587,0,14.426902727,0,P_PAST_DUE,0,0,credit,,20000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
