,pk_credit_collateral_allocation_id,credit_collateral_id,credit_account_id,entity_id,obligor_id,prospect_id,allocation_percentage,allocation_amount,allocation_currency_id,pk_snapshot_date,record_creation_date,insert_job_id
0,9468,a00fee9c-12b9-11ea-8719-54e1adbd8177,,71f9eb7d-3dad-4821-828f-7cacd660e0cc,11343,,,,,2019-12-01,2020-01-21 12:03:11.967000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
1,9469,a01015e4-12b9-11ea-94d2-54e1adbd8177,,408e3647-bd34-40b0-a16a-8677b47ab2ed,14878,,,,,2019-12-01,2020-01-21 12:03:11.967000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
2,9470,a0101614-12b9-11ea-8d78-54e1adbd8177,,a0eb252c-6684-44c8-a3ee-bfdd774428f3,16788,,,,,2019-12-01,2020-01-21 12:03:11.967000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
3,9488,a0103ca8-12b9-11ea-bda1-54e1adbd8177,,7d156476-171c-4d9d-8549-2f256fe464aa,17975,,,,,2019-12-01,2020-01-21 12:03:11.967000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
4,9489,a0103ca9-12b9-11ea-bedb-54e1adbd8177,,7d156476-171c-4d9d-8549-2f256fe464aa,17975,,,,,2019-12-01,2020-01-21 12:03:11.967000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
5,9490,a0103caa-12b9-11ea-b69c-54e1adbd8177,,7d156476-171c-4d9d-8549-2f256fe464aa,17975,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
6,9491,a0103cab-12b9-11ea-b71c-54e1adbd8177,,7d156476-171c-4d9d-8549-2f256fe464aa,17975,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
7,9492,a0103cac-12b9-11ea-8ed2-54e1adbd8177,,7d156476-171c-4d9d-8549-2f256fe464aa,17975,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
8,9493,a0103cad-12b9-11ea-a5d7-54e1adbd8177,,7d156476-171c-4d9d-8549-2f256fe464aa,17975,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
9,9494,a0103cb2-12b9-11ea-a6c8-54e1adbd8177,,d41cd0e3-79e7-4a3f-807b-0bcdc5858e3c,9958,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
10,9506,a0103ccd-12b9-11ea-94c7-54e1adbd8177,,fabf4928-aed3-4a5d-b7f2-c4278e50bb4a,17213,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
11,9507,a01063a4-12b9-11ea-866a-54e1adbd8177,,11539afc-3716-4876-9ff6-d17c882edfd5,1181,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
12,9508,a01063a8-12b9-11ea-9805-54e1adbd8177,,cf64fe86-ac52-47b5-9815-4fcef404f3f1,16762,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
13,9509,a01063b1-12b9-11ea-b87f-54e1adbd8177,,74ced22a-456b-488f-afc8-a5edfe66c0fb,6277,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
14,9512,a01063d2-12b9-11ea-9e5f-54e1adbd8177,,06715a63-ec63-4880-8a4f-d5cd6097bdf6,9034,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
15,9513,a01063df-12b9-11ea-b969-54e1adbd8177,,573a47c7-2356-4835-8782-76005e30a96c,929,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
16,9514,a01063e0-12b9-11ea-b282-54e1adbd8177,,573a47c7-2356-4835-8782-76005e30a96c,929,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
17,9515,a01063e1-12b9-11ea-ae8d-54e1adbd8177,,573a47c7-2356-4835-8782-76005e30a96c,929,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
18,9516,a01063e2-12b9-11ea-9c26-54e1adbd8177,,573a47c7-2356-4835-8782-76005e30a96c,929,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
19,9523,a01063f4-12b9-11ea-bc03-54e1adbd8177,,,,OLD102336,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
20,9524,a01063f5-12b9-11ea-9f60-54e1adbd8177,,,,OLD102336,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
21,9525,a01063f6-12b9-11ea-b4bf-54e1adbd8177,,,,OLD102336,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
22,9530,a0108aa3-12b9-11ea-ad58-54e1adbd8177,,07b19b59-2c48-4686-b85c-4ed124f584e4,16962,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
23,9531,a0108aa4-12b9-11ea-a6c8-54e1adbd8177,,07b19b59-2c48-4686-b85c-4ed124f584e4,16962,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
24,9532,a0108aa5-12b9-11ea-889f-54e1adbd8177,,4e144f65-646c-4e1b-b208-d359e1f27754,18198,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
25,9533,a0108aa6-12b9-11ea-ad89-54e1adbd8177,,abe3ed2a-6ce8-4993-9197-d076c3b3103c,6060,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
26,9534,a0108ab0-12b9-11ea-88c3-54e1adbd8177,,2533275b-7122-4107-91af-f58fd0d16bbc,17025,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
27,9544,a0108ae7-12b9-11ea-acff-54e1adbd8177,,8a69c0ff-28b4-484c-b34a-42762da5a826,19452,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
28,9550,a0108b05-12b9-11ea-8aee-54e1adbd8177,,bbf5f4b6-1d5a-4bd2-ae66-7261b2cb7f70,17210,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
29,9551,a0108b06-12b9-11ea-945c-54e1adbd8177,,bbf5f4b6-1d5a-4bd2-ae66-7261b2cb7f70,17210,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
30,9553,a010b1d2-12b9-11ea-939a-54e1adbd8177,,,,OLD103892,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
31,9554,a010b1d4-12b9-11ea-8ab7-54e1adbd8177,,eceb92f7-6226-43e4-8e98-1fb902c5df85,11088,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
32,9557,a010b1dc-12b9-11ea-9465-54e1adbd8177,,56aaecc0-d277-4699-ba24-34c574e6d926,16720,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
33,9560,a010b1df-12b9-11ea-b1f2-54e1adbd8177,,f1aeed06-d049-4c38-a4e5-1d65706a5640,2225,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
34,9561,a010b1e0-12b9-11ea-a3f3-54e1adbd8177,,f1aeed06-d049-4c38-a4e5-1d65706a5640,2225,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
35,9562,a010b1e5-12b9-11ea-907e-54e1adbd8177,,411d4e72-0e0c-481f-a145-b6a142ec0138,16882,,,,,2019-12-01,2020-01-21 12:03:11.968000+00:00,4baa03ed-3345-4926-8111-1d42f9a4a138
