,pk_credit_collateral_insurance_id,credit_collateral_id,insurance_status_id,insurance_policy_number,insurance_issue_date,insurance_policy_expiry_date,original_insurance_policy_value,original_insurance_policy_currency_id,benefits_policy_value,benefits_policy_currency_id,last_insurance_policy_value,last_insurance_policy_currency_id,pk_snapshot_date,record_creation_date,insert_job_id,property_id,pledge_asset_id
0,b19b1e0a-12b9-11ea-8c7a-54e1adbd8177,a00fa066-12b9-11ea-b70d-54e1adbd8177,2,,2009-11-20,2022-02-28,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
1,b19b1e0b-12b9-11ea-af3b-54e1adbd8177,a00fa067-12b9-11ea-a669-54e1adbd8177,2,,2009-11-20,2022-02-28,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
2,b19b1e12-12b9-11ea-be38-54e1adbd8177,a00fa06e-12b9-11ea-a8ee-54e1adbd8177,2,,2010-02-10,2024-12-18,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
3,b19b1e17-12b9-11ea-85e9-54e1adbd8177,a00fa073-12b9-11ea-9d75-54e1adbd8177,2,,2010-02-09,2029-12-23,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
4,b19b1e1c-12b9-11ea-9998-54e1adbd8177,a00fa078-12b9-11ea-aa2d-54e1adbd8177,2,,2009-10-14,2029-09-28,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
5,b19b1e22-12b9-11ea-acc3-54e1adbd8177,a00fa07e-12b9-11ea-8ca4-54e1adbd8177,2,,2015-07-09,2047-02-28,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
6,b19b1e28-12b9-11ea-9454-54e1adbd8177,a00fa084-12b9-11ea-8be0-54e1adbd8177,2,,2010-02-09,2020-11-17,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
7,b19b1e2c-12b9-11ea-8e40-54e1adbd8177,a00fa088-12b9-11ea-97c0-54e1adbd8177,2,,2009-11-19,2029-11-10,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
8,b19b1e34-12b9-11ea-b4ed-54e1adbd8177,a00fc766-12b9-11ea-92dd-54e1adbd8177,2,,2009-12-18,2022-10-30,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
9,b19b1e3c-12b9-11ea-830a-54e1adbd8177,a00fc76e-12b9-11ea-8459-54e1adbd8177,2,,2012-01-20,2038-02-28,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
10,b19b1e3f-12b9-11ea-86c0-54e1adbd8177,a00fc771-12b9-11ea-87c5-54e1adbd8177,2,,2012-08-20,2037-07-31,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
11,b19b1e4b-12b9-11ea-bafc-54e1adbd8177,a00fc77d-12b9-11ea-943e-54e1adbd8177,2,,2011-09-23,2026-09-30,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
12,b19b1e4e-12b9-11ea-a191-54e1adbd8177,a00fc780-12b9-11ea-879d-54e1adbd8177,2,,2009-12-18,2034-10-30,,,,44,,,2019-12-01,2020-01-21 11:57:24.844000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
13,b19b453d-12b9-11ea-b58d-54e1adbd8177,a00fc787-12b9-11ea-9212-54e1adbd8177,2,,2018-09-05,2033-08-31,,,,44,,,2019-12-01,2020-01-21 11:57:24.845000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
14,b19b453f-12b9-11ea-8a90-54e1adbd8177,a00fc789-12b9-11ea-ae5e-54e1adbd8177,2,,2018-09-05,2033-08-31,,,,44,,,2019-12-01,2020-01-21 11:57:24.845000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
15,b19b4544-12b9-11ea-8314-54e1adbd8177,a00fc78e-12b9-11ea-b1e6-54e1adbd8177,2,,2010-02-09,2034-12-21,,,,44,,,2019-12-01,2020-01-21 11:57:24.845000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
16,b19b4545-12b9-11ea-9495-54e1adbd8177,a00fc78f-12b9-11ea-b9e1-54e1adbd8177,2,,2019-08-06,2034-07-31,,,,44,,,2019-12-01,2020-01-21 11:57:24.845000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
17,b19b4546-12b9-11ea-8c32-54e1adbd8177,a00fc790-12b9-11ea-95a0-54e1adbd8177,2,,2019-08-06,2034-07-31,,,,44,,,2019-12-01,2020-01-21 11:57:24.845000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
18,b19b4554-12b9-11ea-95af-54e1adbd8177,a00fc79e-12b9-11ea-8298-54e1adbd8177,2,,2017-12-21,2042-10-31,,,,44,,,2019-12-01,2020-01-21 11:57:24.845000+00:00,98854b21-5ac9-46f0-ab4d-1946bc8d3734,,
