,pk_credit_collateral_valuation_id,credit_collateral_id,property_id,pledge_asset_id,valuation_value,valuation_currency_id,valuation_date,valuation_type_id,valuation_status,forced_value,execution_value,preceding_mortgages_pledges_value,preceding_mortgages_pledges_currency_id,valuation_owner_id,pk_snapshot_date,record_creation_date,insert_job_id
0,688,,688,,161131,44,2005-04-27,3,False,128904.8,,,,,2019-12-01,2020-01-21 12:06:20.004000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
1,858,,858,,200000,44,2017-07-15,3,False,175000,,,,,2019-12-01,2020-01-21 12:06:20.024000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
2,1693,,688,,161131,44,2005-04-27,3,False,128904.8,,,,,2019-12-01,2020-01-21 12:06:20.054000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
3,1863,,858,,200000,44,2017-07-15,3,False,175000,,,,,2019-12-01,2020-01-21 12:06:20.058000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
4,2061,,51,,435000,44,2018-03-04,1,True,362000,,,,,2019-12-01,2020-01-21 12:06:20.062000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
5,2063,,53,,383000,44,2019-04-29,1,True,319000,,,,,2019-12-01,2020-01-21 12:06:20.062000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
6,2106,,96,,708000,44,2018-10-11,1,True,590000,,,,,2019-12-01,2020-01-21 12:06:20.063000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
7,2110,,100,,653000,44,2018-09-19,1,True,544000,,,,,2019-12-01,2020-01-21 12:06:20.063000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
8,2147,,137,,585000,44,2018-03-16,3,True,480000,,,,,2019-12-01,2020-01-21 12:06:20.064000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
9,2160,,150,,250000,44,2018-11-15,1,True,220000,,,,,2019-12-01,2020-01-21 12:06:20.064000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
10,2162,,152,,315000,44,2018-03-19,1,True,262000,,,,,2019-12-01,2020-01-21 12:06:20.064000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
11,2194,,184,,236000,44,2016-11-17,1,True,207500,,,,,2019-12-01,2020-01-21 12:06:20.065000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
12,2248,,238,,1050000,44,2017-03-23,1,True,836000,,,,,2019-12-01,2020-01-21 12:06:20.066000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
13,2249,,239,,354000,44,2016-11-15,1,True,297000,,,,,2019-12-01,2020-01-21 12:06:20.066000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
14,2269,,259,,430000,44,2017-07-25,1,True,375000,,,,,2019-12-01,2020-01-21 12:06:20.067000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
15,2274,,264,,164000,44,2017-05-19,1,True,137000,,,,,2019-12-01,2020-01-21 12:06:20.067000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
16,2297,,287,,500000,44,2017-04-27,1,True,440000,,,,,2019-12-01,2020-01-21 12:06:20.067000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
17,2304,,294,,600000,44,2017-09-22,1,True,500000,,,,,2019-12-01,2020-01-21 12:06:20.067000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
18,2341,,331,,1144000,44,2017-03-24,1,True,989000,,,,,2019-12-01,2020-01-21 12:06:20.068000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
19,2346,,336,,580000,44,2017-12-15,1,True,510000,,,,,2019-12-01,2020-01-21 12:06:20.068000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
20,2348,,338,,325000,44,2018-09-10,1,True,227500,,,,,2019-12-01,2020-01-21 12:06:20.068000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
21,2369,,359,,530000,44,2019-02-28,1,True,470000,,,,,2019-12-01,2020-01-21 12:06:20.069000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
22,2380,,370,,555000,44,2019-01-11,1,True,462000,,,,,2019-12-01,2020-01-21 12:06:20.069000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
23,2432,,422,,457000,44,2019-05-20,1,True,350000,,,,,2019-12-01,2020-01-21 12:06:20.070000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
24,2494,,484,,675000,44,2017-03-17,1,True,590000,,,,,2019-12-01,2020-01-21 12:06:20.072000+00:00,046c74a1-a0ee-4e51-8d64-db9c3d749209
