,pk_product_id,product_group_id,sk_product_code,name,description,default_name,product_variant_code,is_actual,pk_snapshot_date,record_creation_date,insert_job_id,category
0,9,,RETAIL_CARD,Payment card for retail customers,Payment card for retail customers,,RETAIL_CARD,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,
1,31,,RETAIL_INVESTMENTS,Investments,Investments,Investments,RETAIL_INVESTMENTS,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,
2,11,,SME_CARD,Payment card for SME customers,Payment card for SME customers,,SME_CARD,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,
3,29,,RETAIL_TECHNICAL_ACCOUNT,Technical bank's account for loans,Technical account,Technical account,RETAIL_TECHNICAL_ACCOUNT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,
4,35,,1711,Credit Card account,Credit Card account,Credit Card account,CHARGE_CARD_ACCOUNT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,credit_account
5,18,,RETAIL_LOAN,One Cretid Limit for retail customers,One Cretid Limit for retail customers,,RETAIL_LOAN,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,credit_account
6,21,,SME_LOAN,One Credit limit - Loan,One Credit limit - Loan,,SME_LOAN,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,credit_account
7,1,,RETAIL_CURRENT_ACCOUNT,Current account for retail customers,Current account for retail customers,,RETAIL_CURRENT_ACCOUNT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,current_account
8,6,,SME_CURRENT_ACCOUNT,Current account for SME customers,Current account for SME customers,,SME_CURRENT_ACCOUNT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,current_account
9,16,,6665,Term deposit for retail customers,Term deposit for retail customers,Term deposit,RETAIL_TERM_DEPOSIT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,deposit_account
10,15,,6125,Regulated Savings Account,Regulated Savings Account,Regulated Savings Account,RETAIL_SAVINGS_ACCOUNT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,savings_account
11,13,,6120,Regulated Savings Account,Regulated Savings Account,Regulated Savings Account,REGULATED_SAVINGS_ACCOUNT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,savings_account
12,5,1,1804,Basic account (PAD) for retail customers,Basic account (PAD) for retail customers,Basic account,RETAIL_BASIC_ACCOUNT,True,2019-12-31,2020-01-01 01:18:47.920022+00:00,9a9421f68d254571b63a5d9f4f73e22b6109e8e9064052e3aad0423b711da4ad,current_account
